Interview Text,Dominant_Topic,x,y
" I don't know, I can't really think of anything.  I just been playing a little golf and producing a baby and that is all, really.  Just stay home.",6,-6.0099792,21.5567
" No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please.",5,15.285725,6.762192
"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about staying in my bubble, and that term has really got a different meaning this year.",7,12.203316,30.81706
"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here you are sitting here first Team. Does this validate the season you put together?",0,-3.8535805,-25.466162
" Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obviously not as many as we saw last week.",6,-8.677947,23.560366
"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you know, longer points she was really tired.",2,-6.926088,-3.990491
"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as well, with Max and Stras and An??̻bal, those guys as well.",7,12.397057,29.30889
" I managed to hit some of my shots close, and the ones that I didn't I managed to save par.",4,-22.996557,-15.904781
"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it out, and we'll see how he feels tomorrow.",4,-19.83264,-14.532418
 It is like during the Wimbledon -- before the main game she was practicing and she injured at the Wimbledon.,2,-3.6799135,-0.6050552
"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defense.  Day-in and day-out they gave us a great look.",7,12.3182955,26.486513
 I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit for turning it up.,5,14.477314,6.601217
"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver to win the drivers championship, then bring home the manufacturers trophy.",2,-4.2245975,-1.3895832
"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a lap there for a minute, we were really good there, capable of winning.",4,-26.34956,-14.574033
" It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected to win tomorrow and I'll go out and do what I do and hopefully things work out.",0,1.1588845,-24.910854
 We just said that we are going to make a couple of tournaments before the Open and the Open.  We didn't talk afterwards.,7,10.523356,20.70193
"You obviously love your chances, you've won it twice before, what is it about that makes this event so special?",1,18.436127,-11.91754
It's not a bad four-year run. It almost feels like it got started against us a few years ago at our place. And they've had their foot on the gas pedal ever since.,1,19.006577,-14.1582155
"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's proud of me and I told him this is why we work, this is why we grind.  He congratulated me.",7,12.039872,28.003595
"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have 20 feet and make the putt.",1,14.360154,-12.919088
"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and he is a great player.",5,12.804016,4.997013
Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all about. I think we're going to field the Team that gives us the best opportunity to do that.,0,-0.32256934,-30.935585
" Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have been here too watching it.  I don't know.",7,11.655449,26.42395
" Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great two weeks.  I am happy that I won. After all, I am very satisfied.",4,-22.995407,-15.906749
" You know, played very well the.  He gave me the opportunities; I took them.  That is why I played well.",7,11.464165,22.730427
